Fiscal_Year,Library,County,AENGLC_Rank,Population_of_Service_Area,Total_Library_Visits,Total_Registered_Borrowers,Percent_of_Residents_with_Library_Cards,Reference_Questions,Total_Circulation,Total_Programs_(Synchronous_+_Prerecorded),Total_Program_Attendance_&_Views,Total_Collection,Total_Operating_Income,Town_Tax_Appropriation_for_Library,Tax_Appropriation_Per_Capita_Served,Wages_&_Salaries_Expenditures,Operating_Expenditures,Operating_Expenditures_Per_Capita,Visits_per_Borrower,References_per_Borrower,Population_Group,Log_Population,Program_Attendance_per_Capita
1997,Bristol,Hartford,134.0,13145.0,229075.0,20259.0,0.34,20171.0,337870.0,672.0,17043.0,141437.0,1213865.0,1148575.0,19.3,805677.0,1056811.0,17.8,11.307320203366405,0.9956562515425244,Mediana,9.483872808823522,1.2965386078356789
1997,Brookfield,Fairfield,34.0,14820.0,114349.0,10736.0,0.72,13532.0,159765.0,201.0,7018.0,60042.0,380967.0,349917.0,23.61,225931.0,338098.0,22.8,10.650987332339792,1.2604321907600595,Mediana,9.603800372956915,0.47354925775978407
1997,Brooklyn,Windham,151.0,6802.0,14560.0,2838.0,0.42,1872.0,28494.0,30.0,495.0,19496.0,76085.0,63685.0,9.36,31803.0,69941.0,10.3,5.130373502466526,0.6596194503171248,Pequeña,8.825118970345061,0.07277271390767422
1997,Burlington,Hartford,73.0,7657.0,29000.0,3642.0,0.48,893.0,46130.0,65.0,1516.0,29647.0,122454.0,115281.0,15.06,78932.0,105383.0,13.8,7.962657880285557,0.24519494783086215,Pequeña,8.943506132037239,0.19798876844717253
1997,Canaan - David Hunt,Litchfield,39.0,1325.0,14612.0,666.0,0.5,,16002.0,140.0,2054.0,25853.0,67894.0,25000.0,18.87,29451.0,41357.0,31.2,21.93993993993994,,Pequeña,7.189922170745808,1.550188679245283
1997,Canterbury,Windham,154.0,4677.0,5229.0,1281.0,0.27,,15034.0,,,13024.0,34694.0,28680.0,6.13,16650.0,31238.0,6.7,4.081967213114754,,Pequeña,8.450625947144124,
1997,Canton,Hartford,67.0,8496.0,23660.0,7700.0,0.91,,35800.0,,,46788.0,224667.0,215740.0,25.39,121928.0,177711.0,20.9,3.0727272727272728,,Pequeña,9.047468439003541,
1997,Chaplin,Windham,136.0,2127.0,5616.0,410.0,0.19,,6897.0,1.0,40.0,14377.0,26981.0,23550.0,11.07,12804.0,22087.0,10.4,13.697560975609756,,Pequeña,7.662937850461535,0.018805829807240243
1997,Cheshire,New Haven,54.0,26660.0,99500.0,20645.0,0.77,24950.0,271204.0,90.0,3409.0,106484.0,861204.0,796961.0,29.89,659008.0,861204.0,32.3,4.819568902882054,1.2085250666020828,Mediana,10.190957102406585,0.1278694673668417
1997,Chester,Middlesex,63.0,3621.0,20000.0,2800.0,0.77,1103.0,32932.0,48.0,898.0,14387.0,47198.0,37930.0,10.48,28583.0,47198.0,13.0,7.142857142857143,0.3939285714285714,Pequeña,8.19478163844336,0.247997790665562
1997,Clinton - Henry C. Hull,Middlesex,92.0,13100.0,,6700.0,0.51,2000.0,224169.0,219.0,5040.0,40466.0,350072.0,237661.0,18.14,188212.0,307638.0,23.5,,0.29850746268656714,Mediana,9.48044384215367,0.3847328244274809
1997,Colchester - Cragin,New London,131.0,12101.0,34892.0,8580.0,0.71,3944.0,74151.0,182.0,5275.0,29991.0,184626.0,160000.0,13.22,112015.0,172318.0,14.2,4.066666666666666,0.4596736596736597,Mediana,9.401126007182267,0.4359143872407239
1997,Columbia - S.B. Little,Tolland,81.0,4802.0,4040.0,2840.0,0.59,4012.0,34538.0,25.0,1848.0,27027.0,155161.0,134422.0,27.99,79349.0,137032.0,28.5,1.4225352112676057,1.412676056338028,Pequeña,8.476996001664824,0.3848396501457726
1997,Cornwall,Litchfield,12.0,1497.0,8700.0,620.0,0.41,,13980.0,3.0,65.0,15240.0,31990.0,2800.0,1.87,13105.0,40839.0,27.3,14.03225806451613,,Pequeña,7.311886164077165,0.04342017368069472
1997,Coventry - Booth Dim,Tolland,129.0,10863.0,39950.0,4551.0,0.42,2355.0,92456.0,178.0,3558.0,45044.0,190760.0,173100.0,15.93,102090.0,153455.0,14.1,8.77829048560756,0.5174686882003955,Mediana,9.293209849798478,0.32753383043358186
1997,Cromwell,Middlesex,97.0,12631.0,51987.0,4413.0,0.35,4523.0,82246.0,124.0,3448.0,42089.0,329270.0,321828.0,25.48,230919.0,336227.0,26.6,11.780421481985044,1.0249263539542262,Mediana,9.443988555935478,0.27297917821233475
1997,Danbury,Fairfield,78.0,13145.0,226705.0,5261.0,0.4,36954.0,308582.0,714.0,16582.0,89078.0,1526360.0,1512625.0,22.41,1060860.0,1533061.0,22.7,43.09161756320091,7.024139897357917,Mediana,9.483872808823522,1.2614682388740965
